smiles,Heiser_inh_index,MERS_inh_index,Touret_inh_index,pert_ID
CCCCNc1ccc(C(=O)OCCOCCOCCOCCOCCOCCOCCOCCOCCOC)cc1,0.091561036,53.54166667,-0.116216322,['BRD-K91699951']
CCCCOC(=O)c1ccc(N)cc1,0.207571445,62.675,0.030142513,['BRD-K27217864']
O=C(O)CCCc1ccccc1,0.170605271,53.65,,['BRD-K67102207']
CCCCOc1cc(C(=O)OCCN(CC)CC)ccc1N,0.146974018,,,['BRD-K04185004']
O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1,,41.025,,['BRD-K29458283']
O=C(O)CNC(=O)C(CS)Cc1ccccc1,,50.8625,0.15539008699999998,['BRD-A56012032']
CCOc1ccc(NC(C)=O)cc1,,55.9125,0.091066746,['BRD-K38323065']
CC[N+](C)(C)Cc1ccccc1Br,,55.8625,0.262747116,['BRD-K49669424']
O=C(O)c1ccccc1OP(=O)(O)O,0.148436726,56.0375,0.309924635,['BRD-K28687144']
CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,0.069801191,51.675,0.916052001,['BRD-K18250272']
CC[N+](CC)(CC)CC(=O)Nc1c(C)cccc1C,,50.575,,['BRD-K56596464']
O=C(O)c1cc(O)c(O)c(O)c1,,59.35,,['BRD-K77345217']
O=C(O)c1ccccc1,,53.825,,['BRD-K53397409']
CCc1cccc(CC)c1NC(=O)CN(CC(=O)O)CC(=O)O,,58.525,-0.011564165,['BRD-K63979671']
CCN(C)C(=O)Oc1cccc(C(C)N(C)C)c1,0.089623093,53.10833333,0.522452835,['BRD-K10706131']
CCN(CC)C(=O)C(C#N)=Cc1cc(O)c(O)c([N+](=O)[O-])c1,0.198809827,52.55,,['BRD-K92977333']
CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(C(C)=O)c1,0.50893767,50.825,-0.008424094,['BRD-A95602221']
CCN(CC)C(=O)c1cccc(C)c1,0.281131261,53.275,,['BRD-K94080537']
CCN(CC)CC(=O)Nc1c(C)cccc1C,0.16880837699999998,52.175,-0.013639385,['BRD-K52662033']
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0.175477585,60.475,0.024225664,['BRD-K75641298']
CCN(CC)CCNC(=O)c1cc(S(C)(=O)=O)ccc1OC,0.17951978,56.175,0.092643805,['BRD-K57432881']
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0.119631289,51.8,,['BRD-K22685337']
CN(C)CCOC(=O)COc1ccc(Cl)cc1,,55.73333333,0.15871305900000002,['BRD-K10314788']
CCNCC(O)c1cccc(O)c1,-0.036879437,58.075,0.813473881,['BRD-A09925278']
CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,0.007923553,54.73333333,0.08503739999999999,['BRD-K45252063']
CN([N+][O-])c1cc(O)ccc1O,,51.1,,['BRD-K60274257']
O=S(=O)(O)c1cc(O)ccc1O,,56.475,0.6842714879999999,['BRD-K71055333']
CCOC(=O)c1ccc(OC(=O)CCCCCNC(=N)N)cc1,0.266095132,46.5,0.195347956,['BRD-K59256312']
Oc1ccc(Cl)cc1,0.024123178,57.175,,['BRD-K40992116']
CC[Hg]Sc1ccccc1C(=O)O,-0.044491228,50.14166667,-0.272189122,['BRD-K61443650']
CC[N+](C)(C)c1cccc(O)c1,0.057101712,52.54166667,0.141889076,['BRD-K81128206']
CC[N+](CC)(CC)CCOc1cccc(OCC[N+](CC)(CC)CC)c1OCC[N+](CC)(CC)CC,0.083238253,52.125,0.15413745,['BRD-K43106192']
C#CCN(C)C(C)Cc1ccccc1,,55.5,0.235826072,['BRD-K86434416']
C#CCN(C)CCCOc1ccc(Cl)cc1Cl,,55.5,0.390798339,['BRD-K73251053']
CNC(C)(C)Cc1ccccc1,,51.5625,0.13462924,"['BRD-K18194590', 'BRD-M61872305']"
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(C(O)CNC(C)(C)C)c1,0.132325859,55.7125,0.274936404,['BRD-A17462676']
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0.109631847,53.18333333,0.03327603,['BRD-K18922609']
C/C=C/c1ccc(OC)cc1,,51.775,,['BRD-K49060658']
CNNCc1ccc(C(=O)NC(C)C)cc1,,55.0375,0.436096257,['BRD-K13032584']
COC(=O)C=Cc1cc(O)ccc1O,,17.9625,,['BRD-K88741031']
COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1,,54.5625,0.053598429,['BRD-A07395371']
CC(=O)C(C#N)C(=O)Nc1cc(Br)ccc1Br,,56.61666667,,['BRD-A30655177']
CC(=O)N(CC(C)C(=O)O)c1c(I)cc(I)c(N)c1I,,53.65,0.14110726,['BRD-A37492983']
COCC(=O)Nc1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)N(C)CC(O)CO)c1I,,49.25,0.122943365,['BRD-A72075775']
COCCc1ccc(OCC(O)CNC(C)C)cc1,,57.675,0.03331252,"['BRD-A03623303', 'BRD-M45038741']"
CC(=O)NCCc1ccc(O)c(O)c1,,51.45,,['BRD-K95847244']
